"Store_ID","Marketing_Spend_USD","Monthly_Sales_USD","Avg_Delivery_Time_Days","Customer_Satisfaction_Score"
"Store_01",36440,80990,5,42.7
"Store_02",30044,71593,2.2,69.6
"Store_03",11306,28692,6.1,37.9
"Store_04",17858,65551,8,31
"Store_05",29992,73420,4.8,67.9
"Store_06",6131,49595,1.5,77.8
"Store_07",25980,81745,4.5,47.6
"Store_08",43745,96890,5.2,42.5
"Store_09",16363,55625,1.4,80.1
"Store_10",31136,90462,4.7,51.4
"Store_11",5267,26193,4.5,43.7
"Store_12",36134,84925,6.8,40.6
"Store_13",15401,45889,1.3,78.5
"Store_14",43184,98408,1.8,73.6
"Store_15",11923,43911,8.9,28.2
"Store_16",21056,68277,1,84.5
"Store_17",29534,77549,2.4,62.3
"Store_18",5054,22566,5.6,21.2
"Store_19",19302,60009,6,38.4
"Store_20",5778,24398,4,51.5
"Store_21",20370,46214,7.3,38.5
"Store_22",20455,63775,3.6,52.5
"Store_23",15465,37453,5.5,42.2
"Store_24",7762,37956,6.8,35.4
"Store_25",23557,54544,9.2,33.2
"Store_26",13348,57455,1.7,74.2
"Store_27",23480,68322,2.8,57
"Store_28",11304,37594,6.7,41
"Store_29",5245,38111,7,34.7
"Store_30",32078,80371,1.5,74
"Store_31",45995,89662,2.5,60.2
"Store_32",12891,42059,1.4,75.3
"Store_33",37903,78060,9.8,49.3
"Store_34",5727,35780,5.8,42.4
"Store_35",31375,69534,7.8,33.2
"Store_36",24162,60993,7.7,34.5
"Store_37",14472,35475,4.3,48.3
"Store_38",26474,58357,7.3,38.4
"Store_39",38967,89450,8.1,38.4
"Store_40",25107,55690,1.2,79.1
