"Dataset","Run","Algorithm","Accuracy","Precision","Recall"
"Dataset_1",1,"Logistic Regression",0.703185730603434,0.747161937581108,0.701714610220704
"Dataset_2",1,"Logistic Regression",0.713094675315502,0.739342934844172,0.689721646827014
"Dataset_3",1,"Logistic Regression",0.766761249424474,0.761458348290547,0.754066284126296
"Dataset_4",1,"Logistic Regression",0.722115251742737,0.732979132927379,0.721538420684171
"Dataset_5",1,"Logistic Regression",0.723878632054828,0.715591833096451,0.737292551429507
"Dataset_6",1,"Logistic Regression",0.771451949606498,0.761927011714187,0.738441018737996
"Dataset_7",1,"Logistic Regression",0.733827486179676,0.718055429422671,0.726832401395451
"Dataset_8",1,"Logistic Regression",0.682048162961804,0.670155817612614,0.697176291732714
"Dataset_9",1,"Logistic Regression",0.699394414443194,0.732412563789928,0.688618231243642
"Dataset_10",1,"Logistic Regression",0.706630140897001,0.705549578395292,0.71117597933046
"Dataset_1",2,"Logistic Regression",0.756722453923184,0.759107358651736,0.766567025324472
"Dataset_2",2,"Logistic Regression",0.730794414811721,0.735668163403703,0.736151115118355
"Dataset_3",2,"Logistic Regression",0.732023143517821,0.756672661087528,0.745088297107249
"Dataset_4",2,"Logistic Regression",0.723320481478354,0.712999204859458,0.720866308258806
"Dataset_5",2,"Logistic Regression",0.703324765957378,0.683474622949537,0.695051235685535
"Dataset_6",2,"Logistic Regression",0.773607394104092,0.807121332752156,0.720744415063513
"Dataset_7",2,"Logistic Regression",0.734935514346877,0.726112250008771,0.733076693977288
"Dataset_8",2,"Logistic Regression",0.661001485301111,0.646540165902313,0.669607179228311
"Dataset_9",2,"Logistic Regression",0.741040677046911,0.716315214669245,0.751748653864274
"Dataset_10",2,"Logistic Regression",0.705816257768162,0.680121943321806,0.694710690741897
"Dataset_1",3,"Logistic Regression",0.687965288820395,0.676485819234435,0.723555347015898
"Dataset_2",3,"Logistic Regression",0.713460752560251,0.725820468903582,0.719189240952828
"Dataset_3",3,"Logistic Regression",0.689219866550783,0.711416829329377,0.691746183719961
"Dataset_4",3,"Logistic Regression",0.698133263121266,0.712285030197978,0.723578598710636
"Dataset_5",3,"Logistic Regression",0.701248821964522,0.693975676022617,0.686879497538137
"Dataset_6",3,"Logistic Regression",0.669399200677728,0.67059419942542,0.660392428199233
"Dataset_7",3,"Logistic Regression",0.745133611334836,0.731041682061234,0.793082660935831
"Dataset_8",3,"Logistic Regression",0.724601193535095,0.710256830303615,0.724823777279513
"Dataset_9",3,"Logistic Regression",0.685855891889642,0.70354890186918,0.718527260317808
"Dataset_10",3,"Logistic Regression",0.757614447632098,0.737302596060027,0.728844314733807
"Dataset_1",4,"Logistic Regression",0.732793926644304,0.771899805954154,0.728983590603446
"Dataset_2",4,"Logistic Regression",0.711147855510232,0.709341463630915,0.718716333582968
"Dataset_3",4,"Logistic Regression",0.746853769831351,0.751144546363935,0.752854540735467
"Dataset_4",4,"Logistic Regression",0.746344004625991,0.7315734505312,0.726231279435774
"Dataset_5",4,"Logistic Regression",0.744647432449125,0.733159658653859,0.745032617941632
"Dataset_6",4,"Logistic Regression",0.740659207623003,0.714318884976898,0.719110794560763
"Dataset_7",4,"Logistic Regression",0.736617529606128,0.732959021838673,0.750871596111013
"Dataset_8",4,"Logistic Regression",0.718142648682698,0.726522296781188,0.739838150479911
"Dataset_9",4,"Logistic Regression",0.710821120087803,0.71730720697103,0.666321366158054
"Dataset_10",4,"Logistic Regression",0.708585869969628,0.692955140228533,0.733299739215631
"Dataset_1",5,"Logistic Regression",0.699158790632385,0.683386351215305,0.674337900696215
"Dataset_2",5,"Logistic Regression",0.713762481659412,0.703718507292555,0.722857867039065
"Dataset_3",5,"Logistic Regression",0.682038109452952,0.711959322849879,0.695236162215804
"Dataset_4",5,"Logistic Regression",0.785068678960155,0.76232260654684,0.781070882398127
"Dataset_5",5,"Logistic Regression",0.75623885994915,0.752657828061546,0.743336580811954
"Dataset_6",5,"Logistic Regression",0.6863067425039,0.724353978937478,0.689613162928741
"Dataset_7",5,"Logistic Regression",0.707913454941028,0.705893957234451,0.716689828955317
"Dataset_8",5,"Logistic Regression",0.706000339391303,0.678803525314875,0.723666395790277
"Dataset_9",5,"Logistic Regression",0.74339895355009,0.730103564844608,0.70235221387205
"Dataset_10",5,"Logistic Regression",0.717498928005845,0.727208127583943,0.684771342644665
"Dataset_1",1,"Random Forest",0.787599555419843,0.780087497986447,0.816207602243606
"Dataset_2",1,"Random Forest",0.779143597339539,0.767906070068543,0.80007617428177
"Dataset_3",1,"Random Forest",0.778713886281261,0.771835541598691,0.787419665259414
"Dataset_4",1,"Random Forest",0.821058068520434,0.822868001463218,0.835361636662655
"Dataset_5",1,"Random Forest",0.773226870430222,0.805197045853138,0.791570368783042
"Dataset_6",1,"Random Forest",0.825494118132886,0.823722815890109,0.772275662163573
"Dataset_7",1,"Random Forest",0.733537415873093,0.755153405796124,0.75574295780587
"Dataset_8",1,"Random Forest",0.797538412489082,0.810153494802093,0.787838660557836
"Dataset_9",1,"Random Forest",0.783715627315338,0.781442829405216,0.788327963927962
"Dataset_10",1,"Random Forest",0.786478247062319,0.755820207004507,0.780575091044648
"Dataset_1",2,"Random Forest",0.791389184482796,0.780966838131746,0.808828483564371
"Dataset_2",2,"Random Forest",0.764930296406721,0.755132887343951,0.757960847427609
"Dataset_3",2,"Random Forest",0.770003778489917,0.770946867145148,0.780373853807682
"Dataset_4",2,"Random Forest",0.749442738506787,0.775446712060124,0.741629038934008
"Dataset_5",2,"Random Forest",0.747846263205733,0.793707842682355,0.725990519023703
"Dataset_6",2,"Random Forest",0.789105859242128,0.820057480421803,0.813306069450933
"Dataset_7",2,"Random Forest",0.793446293358883,0.790783274072304,0.808264293584368
"Dataset_8",2,"Random Forest",0.781590126801915,0.746459578890762,0.816075371585044
"Dataset_9",2,"Random Forest",0.807668024036392,0.799892426754957,0.808971102687978
"Dataset_10",2,"Random Forest",0.841502540568814,0.84328668503028,0.864002595485378
"Dataset_1",3,"Random Forest",0.765269065018304,0.782169325099653,0.804777446098686
"Dataset_2",3,"Random Forest",0.710724933730776,0.729975493100461,0.705095291429996
"Dataset_3",3,"Random Forest",0.810172155733868,0.823858344322197,0.783713133478763
"Dataset_4",3,"Random Forest",0.758723977122528,0.730818490126539,0.753936945779766
"Dataset_5",3,"Random Forest",0.759359741505979,0.776352602418646,0.755078916706272
"Dataset_6",3,"Random Forest",0.810767141090901,0.801835996762357,0.813800751181087
"Dataset_7",3,"Random Forest",0.77145680978847,0.774952863791695,0.805702909334855
"Dataset_8",3,"Random Forest",0.743378468632364,0.744869492175839,0.736855590782257
"Dataset_9",3,"Random Forest",0.785439104392475,0.794002439691885,0.792899197508573
"Dataset_10",3,"Random Forest",0.775833259126829,0.776326758783351,0.771279577828918
"Dataset_1",4,"Random Forest",0.780172925576997,0.746823423625283,0.780581939747497
"Dataset_2",4,"Random Forest",0.79155841203379,0.806288331329259,0.797839565303915
"Dataset_3",4,"Random Forest",0.768880199046228,0.776600730413221,0.795444492966968
"Dataset_4",4,"Random Forest",0.799331296455565,0.794018263950001,0.801757664005381
"Dataset_5",4,"Random Forest",0.773385403145437,0.775748293366371,0.78764224954606
"Dataset_6",4,"Random Forest",0.789953458917471,0.79263423182484,0.805530659513142
"Dataset_7",4,"Random Forest",0.812905170394481,0.817325559765701,0.831200635811593
"Dataset_8",4,"Random Forest",0.793055444725014,0.825872368044564,0.781567553681326
"Dataset_9",4,"Random Forest",0.770222052434063,0.765841044855394,0.802759676717957
"Dataset_10",4,"Random Forest",0.814464228553533,0.817825536231226,0.806845093767653
"Dataset_1",5,"Random Forest",0.809805115678864,0.833172793140246,0.807689432325869
"Dataset_2",5,"Random Forest",0.796451908785242,0.817535529252781,0.824532914139525
"Dataset_3",5,"Random Forest",0.787161952053343,0.81006721426095,0.813043630176255
"Dataset_4",5,"Random Forest",0.761162817718819,0.749613457697628,0.739362980270594
"Dataset_5",5,"Random Forest",0.8208195734559,0.860869228061757,0.803358153447551
"Dataset_6",5,"Random Forest",0.761992212385586,0.76332622980419,0.734830631198174
"Dataset_7",5,"Random Forest",0.845619989790497,0.882957026684635,0.849256933642894
"Dataset_8",5,"Random Forest",0.825978318785556,0.798960265064941,0.829275136143925
"Dataset_9",5,"Random Forest",0.772928989226986,0.773348660954071,0.780211282974087
"Dataset_10",5,"Random Forest",0.749207372990797,0.774205664410181,0.760250527275168
"Dataset_1",1,"SVM",0.728687803089021,0.714382959344565,0.716649946169321
"Dataset_2",1,"SVM",0.757706511274696,0.742652731910341,0.737832539452722
"Dataset_3",1,"SVM",0.742599243646129,0.723828469573991,0.763134944767627
"Dataset_4",1,"SVM",0.739573722018068,0.718523456431293,0.754594948070194
"Dataset_5",1,"SVM",0.72145144298205,0.712708252318442,0.691268112235476
"Dataset_6",1,"SVM",0.748649168255732,0.755272751714912,0.746746219238747
"Dataset_7",1,"SVM",0.726452865916288,0.686168655957873,0.708533909461158
"Dataset_8",1,"SVM",0.699961741902356,0.704201350569802,0.658546720491517
"Dataset_9",1,"SVM",0.738593204391367,0.763326705319698,0.74159560701513
"Dataset_10",1,"SVM",0.777569898271823,0.818321378636632,0.775985664086651
"Dataset_1",2,"SVM",0.732739591121748,0.75876311096576,0.730792205771487
"Dataset_2",2,"SVM",0.768238929666751,0.78337442494267,0.772561980502776
"Dataset_3",2,"SVM",0.701463518751325,0.666928910769038,0.719112822039257
"Dataset_4",2,"SVM",0.748333141034264,0.736303006874128,0.752445091123932
"Dataset_5",2,"SVM",0.765582216118304,0.758541286986652,0.753253499260833
"Dataset_6",2,"SVM",0.759034600865001,0.773105078920139,0.744338615826576
"Dataset_7",2,"SVM",0.753170285824468,0.751056859144393,0.750534229963645
"Dataset_8",2,"SVM",0.730778819750839,0.705605847189635,0.736979159482418
"Dataset_9",2,"SVM",0.724508869618993,0.758197583780875,0.703715262564952
"Dataset_10",2,"SVM",0.719276136281853,0.737503962117772,0.715589958905005
"Dataset_1",3,"SVM",0.753529397913004,0.758278003362824,0.772874743116362
"Dataset_2",3,"SVM",0.721575761574456,0.745937933780972,0.719410159749766
"Dataset_3",3,"SVM",0.73528327668898,0.708507790944281,0.721314863337092
"Dataset_4",3,"SVM",0.742317234234053,0.755533640189849,0.736798330865542
"Dataset_5",3,"SVM",0.805315860156966,0.794857612630698,0.827608831064206
"Dataset_6",3,"SVM",0.730441502949136,0.744116413386151,0.741442382173419
"Dataset_7",3,"SVM",0.757061597168546,0.755845158075344,0.781795113170178
"Dataset_8",3,"SVM",0.752338825486911,0.76499803974754,0.755120782630147
"Dataset_9",3,"SVM",0.721144300976096,0.747854653277284,0.729349802905905
"Dataset_10",3,"SVM",0.747860757416292,0.74800655922263,0.736691619169329
"Dataset_1",4,"SVM",0.7933365257527,0.813687698491742,0.805443939131307
"Dataset_2",4,"SVM",0.763545121592376,0.739776440889417,0.753418450748592
"Dataset_3",4,"SVM",0.751236987659788,0.736804898851068,0.722825677565873
"Dataset_4",4,"SVM",0.737325095029811,0.767709449257575,0.739884954343494
"Dataset_5",4,"SVM",0.688402583353785,0.695950342814263,0.727319607708413
"Dataset_6",4,"SVM",0.783940116402425,0.742895659993751,0.799958403193886
"Dataset_7",4,"SVM",0.706180797872255,0.678900048830608,0.72948586567118
"Dataset_8",4,"SVM",0.77219842532632,0.768182805014538,0.779375539788183
"Dataset_9",4,"SVM",0.807273107076524,0.824588695163214,0.7951019635102
"Dataset_10",4,"SVM",0.706683205170846,0.704645540056542,0.70263838806864
"Dataset_1",5,"SVM",0.771053530061241,0.783537279501654,0.765588567925003
"Dataset_2",5,"SVM",0.742134075317926,0.761314182873682,0.732760079722284
"Dataset_3",5,"SVM",0.702835675225635,0.736256771802894,0.71691902090423
"Dataset_4",5,"SVM",0.704559970386547,0.705680305052047,0.680612700339239
"Dataset_5",5,"SVM",0.701953914792762,0.700914276669144,0.719281237435018
"Dataset_6",5,"SVM",0.734072804334891,0.699008057152046,0.751355854059409
"Dataset_7",5,"SVM",0.706147332450123,0.70813388433188,0.682174885268748
"Dataset_8",5,"SVM",0.770637503189275,0.759200502031364,0.783427343147285
"Dataset_9",5,"SVM",0.81300326821577,0.793523076559688,0.86160780126266
"Dataset_10",5,"SVM",0.711389085718945,0.707790961097994,0.700244776080112
"Dataset_1",1,"Gradient Boosting",0.833632165424255,0.853931028879129,0.850530250252417
"Dataset_2",1,"Gradient Boosting",0.833071267230027,0.793216297456256,0.817427230317639
"Dataset_3",1,"Gradient Boosting",0.819966077368504,0.811420491624395,0.84218030573256
"Dataset_4",1,"Gradient Boosting",0.77974870175169,0.782081447423344,0.784745196150221
"Dataset_5",1,"Gradient Boosting",0.80641642180108,0.788552270399981,0.839454729633544
