"SalesTargetA","MarketingStrategy","WeeklySales","BeforeTraining","AfterTraining"
48,"Digital",64,76,79
50,"Traditional",59,63,65
64,"Digital",72,61,70
53,"Traditional",55,71,69
53,"Digital",73,54,64
66,"Digital",73,56,66
56,"Digital",86,82,80
42,"Traditional",71,60,69
47,"Traditional",83,75,95
48,"Traditional",92,47,49
62,"Digital",77,58,68
55,"Traditional",77,63,63
55,"Traditional",47,63,75
53,"Digital",66,51,57
48,"Digital",62,60,75
66,"Digital",95,50,46
56,"Digital",81,66,71
36,"Digital",62,70,72
58,"Traditional",88,40,44
48,"Digital",63,71,72
43,"Traditional",71,49,49
50,"Traditional",83,64,72
44,"Traditional",52,66,64
46,"Digital",80,58,72
47,"Traditional",62,54,52
39,"Digital",70,61,67
59,"Traditional",67,64,72
53,"Digital",69,68,77
43,"Digital",92,42,45
62,"Digital",74,45,50
55,"Digital",76,73,84
50,"Digital",77,69,65
59,"Digital",87,64,64
59,"Traditional",86,66,73
59,"Digital",65,68,70
58,"Traditional",43,36,49
56,"Digital",71,70,79
52,"Digital",68,56,61
50,"Digital",63,62,58
49,"Digital",62,57,62
46,"Traditional",75,68,71
50,"Traditional",80,57,61
42,"Digital",86,65,63
69,"Digital",82,56,64
62,"Digital",71,50,49
43,"Traditional",47,71,75
49,"Traditional",69,67,74
48,"Traditional",61,76,76
58,"Digital",84,61,69
51,"Traditional",66,70,67
54,"Digital",95,78,66
52,"Digital",74,57,65
52,"Digital",77,48,58
63,"Digital",68,58,61
50,"Digital",69,58,66
64,"Traditional",72,61,59
40,"Traditional",73,75,79
57,"Traditional",68,57,50
53,"Digital",78,63,75
54,"Digital",67,58,74
55,"Traditional",66,60,71
48,"Traditional",76,63,68
49,"Digital",90,72,77
44,"Traditional",80,61,57
43,"Digital",73,66,76
54,"Digital",94,67,71
56,"Traditional",73,68,69
52,"Digital",61,55,52
59,"Digital",68,75,78
68,"Digital",80,57,57
48,"Traditional",97,59,62
34,"Digital",69,73,71
60,"Traditional",62,72,87
46,"Digital",76,50,55
46,"Traditional",74,52,63
60,"Traditional",61,48,37
50,"Traditional",56,62,64
42,"Traditional",70,61,62
53,"Digital",74,63,61
51,"Digital",60,65,79
52,"Digital",70,55,52
55,"Traditional",70,51,58
49,"Digital",75,69,79
57,"Digital",88,67,73
50,"Traditional",74,46,46
55,"Digital",90,59,70
61,"Digital",74,52,58
55,"Traditional",54,41,40
49,"Digital",71,61,58
61,"Traditional",72,59,77
60,"Traditional",60,59,60
56,"Traditional",42,62,56
54,"Digital",82,68,76
47,"Digital",61,62,69
63,"Digital",83,54,51
47,"Digital",71,53,46
69,"Traditional",59,59,63
64,"Digital",76,63,75
50,"Digital",79,51,60
44,"Digital",75,58,60
46,"Digital",58,69,69
54,"Traditional",54,59,66
50,"Traditional",60,54,60
49,"Digital",72,58,67
44,"Traditional",76,70,73
52,"Digital",76,65,75
46,"Digital",77,71,71
39,"Digital",91,61,64
49,"Traditional",62,64,73
59,"Digital",77,55,66
47,"Digital",87,65,58
57,"Digital",86,55,61
39,"Traditional",76,47,56
52,"Digital",69,61,57
56,"Digital",95,78,86
54,"Traditional",36,67,67
53,"Digital",94,70,81
47,"Digital",61,63,71
45,"Digital",75,55,65
44,"Traditional",61,58,64
