Month,BranchCounty,TotalRevenue,NumberOfOrders,AvgOrderValue
2021-01,Nairobi,234.75,2,117.375000
2021-02,Nairobi,1178.66,5,235.732000
2021-03,Kisumu,269.18,1,269.180000
2021-03,Nairobi,2232.54,11,202.958182
2021-03,Nakuru,491.88,2,245.940000
2021-03,Nyeri,245.67,1,122.835000
2021-03,Uasin Gishu,70.11,1,70.110000
2021-04,Kisumu,366.89,1,366.890000
2021-04,Nairobi,729.20,4,182.300000
2021-05,Mombasa,16.84,1,16.840000
2021-05,Nairobi,3524.81,12,293.734167
2021-05,Uasin Gishu,356.13,1,356.130000
2021-06,Mombasa,36.49,1,36.490000
2021-06,Nairobi,7883.83,17,463.754706
2021-06,Nyeri,83.86,1,83.860000
2021-06,Uasin Gishu,678.19,1,678.190000
2021-07,Mombasa,459.87,1,459.870000
2021-07,Nairobi,8503.41,24,340.136400
2021-07,Nakuru,382.77,3,127.590000
2021-07,Nyeri,1046.96,1,1046.960000
2021-07,Uasin Gishu,815.68,2,407.840000
2021-08,Kisumu,367.85,3,122.616667
2021-08,Mombasa,20.55,1,20.550000
2021-08,Nairobi,9597.35,22,436.243182
2021-08,Nakuru,449.11,1,449.110000
2021-08,Nyeri,501.19,2,250.595000
2021-08,Uasin Gishu,1608.02,2,804.010000
2021-09,Mombasa,61.55,1,61.550000
2021-09,Nairobi,5806.12,25,232.244800
2021-09,Nakuru,30.12,1,30.120000
2021-09,Nyeri,598.02,4,149.505000
2021-09,Uasin Gishu,861.78,2,430.890000
2021-10,Kisumu,70.53,1,70.530000
2021-10,Mombasa,22.87,1,22.870000
2021-10,Nairobi,5941.66,28,212.202143
2021-10,Nakuru,2721.19,4,680.297500
2021-10,Nyeri,3823.26,3,1274.420000
2021-10,Uasin Gishu,532.36,2,266.180000
2021-11,Kisumu,298.23,1,298.230000
2021-11,Mombasa,251.85,3,83.950000
2021-11,Nairobi,17770.01,28,612.758966
2021-11,Nakuru,919.99,1,919.990000
2021-11,Nyeri,447.03,1,447.030000
2021-11,Uasin Gishu,122.58,1,122.580000
2021-12,Kisumu,2644.56,4,661.140000
2021-12,Nairobi,9669.49,26,371.903462
2021-12,Nakuru,917.75,1,458.875000
2021-12,Nyeri,430.57,2,215.285000
2021-12,Uasin Gishu,426.01,1,426.010000
2022-01,Kisumu,3176.72,1,3176.720000
2022-01,Mombasa,96.77,2,48.385000
2022-01,Nairobi,15788.83,41,375.924524
2022-01,Nakuru,3289.91,7,469.987143
2022-01,Nyeri,1142.10,5,228.420000
2022-01,Uasin Gishu,757.13,3,252.376667
2022-02,Kisumu,773.02,3,257.673333
2022-02,Mombasa,1813.22,2,906.610000
2022-02,Nairobi,14002.69,38,368.491842
2022-02,Nakuru,855.23,4,213.807500
2022-02,Nyeri,873.34,4,218.335000
2022-02,Uasin Gishu,531.65,4,132.912500
2022-03,Kisumu,485.27,2,242.635000
2022-03,Mombasa,2228.27,4,557.067500
2022-03,Nairobi,10302.93,34,303.027353
2022-03,Nakuru,657.49,3,219.163333
2022-03,Nyeri,892.55,2,297.516667
