YouTube,TikTok,Facebook,Sales
56907,27432.156992417855,0,250000
44234,44750.137484615974,0,250000
40335,87005.62803026824,0,250000
10556,13647.922063414157,0,250000
102578,12991.208678774638,0,250000
11209,34982.47859348011,0,250000
27921,90900.73307179655,254.3846275,250000
49940,82042.56937210898,365.5507126,250000
83994,14405.696266951898,1079.688235,250000
23518,16033.441949348462,2257.810466,250000
94554,29833.49049140508,2336.725832,250000
29924,89795.18011394092,3268.429923,250000
35234,52614.81985426917,4594.791168,250000
23723,12231.726075237852,4641.425185,250000
39983,48551.54441889838,4903.838067,250000
65374,31350.988535018674,4915.940133,250000
34744,20669.254393998974,5116.119419,250000
40209,8939.734035249174,5391.397894,250000
13051,47801.42037493346,5574.461112,250000
23260,42672.893767717585,5785.271934,250000
44792,69809.64953382878,6051.068787,250000
43773,59205.15026947019,6109.514397,250000
70496,23984.66478394664,6116.993753,250000
13249,55967.781337339875,6343.952164,250000
11103,63389.313766086445,6354.706524,250000
70266,16892.133366040376,6375.490779,250000
73369,32411.688972468957,6513.667557,250000
67543,13495.58664318564,6568.91366,250000
28108,67871.33496591031,6578.140817,250000
74060,35462.36585809775,6745.729305,250000
72772,42020.03556846843,7039.717,250000
54164,24907.13336886913,7211.368617,250000
31624,50933.47048574317,7216.018232,250000
26392,28972.840896970734,7224.883141,250000
92288,49459.39270709969,7318.393903,250000
34846,37641.65656722924,7568.876253,250000
22681,75609.50592464712,7585.480064,250000
39783,18639.907970076758,7721.107414,250000
43025,42610.50489443769,7921.992591,250000
82608,17022.397864721348,7993.613647,250000
64351,64402.75123187747,8033.641482,250000
53549,49796.67042724576,8057.176064,250000
15155,48877.94230818295,8145.982264,250000
42250,15099.363123426847,8234.495336,250000
20945,101254.93551369912,8238.706706,250000
55913,28062.472916448074,8268.474397,250000
35014,33577.633662825174,8310.330493,250000
87088,85068.31302212334,8354.418887,250000
98927,13583.19686987318,8377.945778,250000
65516,33412.60346729013,8404.87908,250000
41166,8162.962772250952,8422.002828,250000
21928,38883.974205433005,8426.871808,250000
23941,17748.218221067084,8507.910089,250000
135753,27232.250516191605,8519.248712,250000
45958,11499.849699954295,8663.658021,250000
14960,9880.465339652443,8676.546191,250000
26037,37420.95927021481,8790.687187,250000
12739,26824.906117006416,8873.375304,250000
47119,22420.780541270426,8887.608085,250000
12316,16192.511835963274,8967.968925,250000
77087,3744.783861028862,8979.339356,250000
30456,30210.243050752913,9002.343401,250000
40946,73329.50431542739,9023.008943,250000
17629,41102.18862962657,9056.41791,250000
12979,54829.752121450016,9061.072106,250000
69411,25255.709372472622,9078.679951,250000
58436,19166.479125133283,9079.837127,250000
37715,31136.95632508761,9120.281851,250000
29319,79084.88941229177,9127.43048,250000
10796,61018.13825755649,9130.447229,250000
29226,40106.49355981538,9172.194901,250000
21931,21351.824881815784,9186.037081,250000
21758,14278.36264805782,9237.387002,250000
17977,56139.152269880426,9275.746898,250000
19850,35050.295128207355,9310.358896,250000
73927,30493.021687558394,9318.598791,250000
48208,46949.31301651018,9332.448121,250000
22361,73278.53966572274,9356.564841,250000
65351,39216.15470698695,9412.567561,250000
65227,16300.033393009691,9467.281995,250000
84183,11247.590449800644,9467.568709,250000
79527,10104.138278976887,9528.104032,250000
41747,61944.071191175666,9553.509774,250000
22202,92029.53755,9604.334682,250000
